úZethQuark Versi¢n 7.0ú                                               30/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 01/05/2025 AL 30/05/2025        19:06:04
PRT123()                                                              Pag.-    1
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
EQUIPO MICROGOTERO CON VOLUTROL 100ML          12              3           EFR
EYEMO COLIRIO 0.05% SOL.OFTA X8ML               6              1           AUD
FACTOR REUMATOIDE CUANTITATIVO                946              1           CLA
FLEX 4MG TAB                                   28             20           JES
FLEX NF 2MG/1ML AMP (IM)                        1              4           AUD
FLOREA CAP                                    270             20           CLA
FLUIMEXINA 600MG SOB                          154            190           AUD
FOSLISELEN 3G SOB                              14              1           AUDúZethQuark Versi¢n 7.0ú                                               30/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 01/05/2025 AL 30/05/2025        19:06:12
PRT123()                                                              Pag.-    3
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
FOSTER INHALADOR                                4              1           CLA
FRASCO PARA M.HECES                           106             33           AUD
FRASCO PARA M.ORINA                           169             55           AUD
FROTIS DIRECTO(KOH-HONGOS)                    720              1           ELI
FRUTI FLEX FRESA X1L                            5              1           CLA
FUROSEMIDA 40MG TAB BLSTX10                     3              2           AUD
G.G.T.P                                       854              1           CLA
GASA 10X10                                     82             23           AUD
GASEOVET MS SUSP X220ML                        21             11           AUD
GENTAMICINA 160MG/2ML AMP                      19              1           CLA
GLUCENIL D POTE X1000G                          3              1           CLA
GLUCOSA                                      8603             13           AUD
GLUCOTECH                                      17             30           AUD
GRAVDAN 50MG/5ML (IM/IV) AMP                   12              1           AUD
HCG PRUEBA EMBARAZO RAPIDA                      8             16           AUD
HELICOBACTER IGG                              931              1           CLA
HELICOBACTER IGM                             9991             11           AUD
HELICOBACTER PYORI ANTIGENO FECALES          9996              3           ELI
HEMOG. GLICOSILADA                           9999              4           ELI
HEMOGRAMA COMPLETO                           9977             41           AUD
HEPABIONTA 2ML AMP                             24             38           AUD
HEPABIONTA GRAGEAS                            111              8           AUD
HEPATITIS B ANTIGENO AUSTRALIANO              977              2           CLA
HIDROCORTISONA 250MG AMP                        3              1           AUD
HIRUDOID FORTE CREMA X14G                       7              1           ELI
HIV                                         10011              1           ELI
HORMONAL FEMENINO(FSH-LH ESTRADIOL)           987              2           CLA
INFILTRACION DE ARTICULACIONES               9998              1           MAR
INMUNO PED SOBRE                              182             14           FAB
INMUNOGLOBULINA E                             937              3           CLA
INSTAFIBRA X500G                                1              2           AUD
INSULINA APLICACION 1-3 WOSULIN N              10              3           ELI
INYECTABLE   INTRAMUSCULAR EXTERNO           1320             10           AUD
INYECTABLE INTRAMUSCULAR DOMICILIO             94              4           ELI
ITUBIOT 500MG/2ML (IM/IV) AMP                  40              1           CLA
JERINGA 10ML                                   33            187           AUD
JERINGA 1ML                                   172              6           MAR
JERINGA 20ML                                  309            195           AUD
JERINGA 3ML                                   197              2           MAR
JERINGA 5ML                                    55              5           FAB
KETOPROFENO 100MG/2ML (IM) AMP                 14              6           ELI
KETOPROPHARM 100MG/5ML (IV) AMP               252             38           AUD
KITADOL MIGRA¥A TAB                            29              1           CLA
LAGOSA 150MG TAB                              215              5           AUD
LAVADO DE OIDO I                             9995              1           FAB
LAVADO DE OIDO II                            1802              1           ELI
LEVOFLOXACINO 500MG TAB                       143             14           CLA
LIDOCAINA 2% X20ML AMP                          8             18           AUD
LINCOMAX 600MG/2ML (IM/IV) AMP                 16              5           AUD
LLAVE TRIPLE VIA                               45             91           AUD
LOPERAMIDA 2MG TAB BLSTX10                      1              1           ELI
LORATADINA 10MG TAB BLSTX10                    30              6           CLA
MASCARILLA NEBULIZADORA (ADULTO)               30             13           AUD
MASCARILLA NEBULIZADORA (PEDIATRICO)           32              7           AUD
MEBO TUBO X15G                                  7              1           AUDúZethQuark Versi¢n 7.0ú                                               30/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 01/05/2025 AL 30/05/2025        19:06:12
PRT123()                                                              Pag.-    4
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
METAMIZOL 1G/2ML AMP                           21              7           AUD
METRONIDAZOL 500MG/100ML AMP X100ML             3              1           FAB
MICROALBUMINURIA ORINA SIMPLE                9994              6           FAB
MUCOBROL 300MG/3ML AMP                         55             20           AUD
MUCOCETIL 100MG/5ML SOL.ORAL X120ML             8              3           ELI
NAXODOL 550MG TAB                               0             20           ELI
NEBULIZACION X 3                             9971             28           AUD
NEBULIZACION X2                              9998              1           MAR
NEUMOPUL POTE 500G VAINILLA                     4              1           ELI
NISONA 5MG/5ML SUSP X100ML                      1              2           AUD
NORSPAN 10MG PARCHE                             7              1           ELI
OMEPRAZOL 40MG AMP                             55             12           AUD
OMETAB 20MG TAB                               114              7           AUD
ORFEDRIN 100MG TAB                            116              4           CLA
ORFELAX 60MG/2ML (IM/IV) AMP                  154             37           AUD
ORINA COMPLETA                               7507             47           AUD
OTIDOL NF SOL.OTICA X5ML                       12              3           FAB
PANEL DE ALERGIA(32 ALERGENOS)IGE ESPEC.      938              1           CLA
PARACETAMOL 500MG TAB BLSTX10                   9              3           CLA
PARASITOLOGICO SIMPLE                         559             28           AUD
PARDIL 500MG TAB                               18              6           ELI
PASAJE DOMICILIO 15                           953              2           FAB
PASAJE DOMICILIO 6                           9978              4           ELI
PCR CUANTITATIVA                             9987             12           AUD
PEDIALYTE MAX SABOR UVA X500ML                  0              2           CLA
PERFIL DE COAGULACION                         979              1           ELI
PERFIL HEPATICO                               989             15           AUD
PERFIL LIPIDICO                              1016             20           AUD
PERFIL RENAL                                 9997              1           AUD
PERFIL REUMATICO                             1003             10           AUD
PERFIL TIROIDEO                               937              1           ELI
PLIDOCHECK 400MG CAP                          144             16           AUD
PORTIL NF CREMA X20G                            4              1           CLA
PREDNISONA 5MG TAB BLSTX10                     11              3           CLA
PRESION                                      1563             17           AUD
PRODEFEN PLUS SOBRE                           102             20           JES
PRONOLIS HD 120MG/4.8ML MONO 2.5%               2              1           MAR
PRONTEL 100MG/5ML JRBE X20ML                    6              2           CLA
PROSTASIL 0.5MG CAP                            10             40           FAB
PROTEINURIA 24Hr.                             944              1           CLA
PROTEVIT KIDS POTE 1000G VAINILLA               2              1           ELI
PRUEBA DE ALERGIA                             961              4           MAR
PRUEBA DENGUE RAPIDA IGG IGM                   22              1           ELI
PSA LIBRE                                     857              1           CLA
PSA TOTAL                                    1003              4           AUD
REACCION INFLAMATORIA EN HECES               9909              8           ELI
RODILLERA COMPRESION STANDAR                    0              1           CLA
RPR                                         10023              1           ELI
RX ANTEBRAZO F - L                             99              1           FAB
RX BRAZO/HUMERO C/LADO                         99              1           AUD
RX CADERA COMPARATIVA                        9999              1           CLA
RX CADERA COXOFEMORAL                        9999              1           CLA
RX CERVICO DORSAL FRONTAL Y LATERAL          1000              1           CLA
RX COLUMNA CERVICAL F - L                    9998              1           CLA
RX COLUMNA LUMBO SACRO F - L                 9988              8           AUDúZethQuark Versi¢n 7.0ú                                               30/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 01/05/2025 AL 30/05/2025        19:06:12
PRT123()                                                              Pag.-    5
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
RX HOMBRO C/LADO                             9997              2           AUD
RX MANO C/LADO                                 92              1           FAB
RX PARRILLA COSTAL C/LADO                    9997              1           ELI
RX PIERNA F y L                              9998              1           CLA
RX RODILLA F y L C/LADO                      9995              1           ELI
RX RODILLAS COMPARATIVAS                     9995              2           CLA
RX TEMPORAL C/LADO POSICIONES                9999              1           CLA
RX TOBILLO F y L C/LADO                      9996              2           AUD
RX TORAX AP                                   934             27           AUD
RX TORAX LATERAL                              997              1           ELI
SALBUTEX 100MCG AEROSOL X200DOSIS               6              2           FAB
SILENTUSS 30MG/5ML JRBE X120ML                  9              3           FAB
SUERO FISIOLOGICO X1000ML                      18              5           ELI
SUEROVIT 2ML AMP                                0              1           ELI
SUMAQ MUJER POTE 500G AGUAJE                    2              2           FAB
T3 LIBRE                                      905              4           MAR
T4 LIBRE                                      998              4           ELI
TAMSULOSINA 0.4MG TAB                         175              5           AUD
TERBIFUN 1% SPRAY X30ML                         5              1           CLA
TERBINAFINA 250MG TAB                         135             64           CLA
TEST GRAHAM(OXIURUS)                         9947              7           ELI
THEVENON                                     9991              2           CLA
TRAMADOL 50MG/1ML AMP                           6              2           AUD
TRICOFAR ORAL 500MG TAB                       815            185           AUD
TRIGLICERIDOS                                 931              1           AUD
TRIGLIOUT 100MG TAB                            99             20           ELI
TSH ULTRASENSIBLE                            9999              4           ELI
UREA                                         9994              9           AUD
UROCULTIVO                                    974             15           AUD
UROFURIN 25MG/5ML SUSP X120ML                   5              1           CLA
VAGISTEN 0.1% CREMA X15G                        9              1           MAR
VAXIGEL OVULOS                                 49             12           AUD
VELOCIDAD DE SEDIMENTACION                    952              2           CLA
VELTAM 0.4MG TAB                               98            110           FAB
VENDA ELASTICA 5X5                             15              1           AUD
VINIL 75MG/3ML (IM/IV) AMP                     46              2           CLA
VITACARE POTE 1000G VAINILLA                    3              7           ELI
VITACOSE 2ML INYECTABLE                       100             33           AUD
Z-MOL 1G TAB                                  147             10           MAR
ZETALER 10MG/1ML GOTAS X15ML                    1              1           CLA
--------------------------------------------------------------------------------
T O T A L:   260
--------------------------------------------------------------------------------