DESCRIPCION DEL PRODUCTO	VENTA
GASA ESTERIL 7.5X7.5CM CAJAX50	0u63
GASA ESTERIL MED.10X10CM CAJAX20UNID	0u14
GASEOPHAR SIMETICONA 80mg/ml gotas 15ML	2
GENTAMICINA  160MG/2ML AMPOLL CAJAX25	0u10
GLIBENCLAMIDA 5MG CAJAX100TABLETAS	0u10
GLUCOPHAGE XR 1000MG  CAJAX30	0u26
GUANTES #7	1
GUANTES QUIRURGICO TALLA 7.5	4
HEPABIONTA DE 2ML AMPOLL CAJAX1	25
HEPABIONTA GRAGEAS CAJAX200	0u25
HEPATITIS B CORE IGM	1
HIDROCORTISONA 250MG AMPOLLA CAJAX10UNID	0u3
HIRUDOID FORTE POMADA 14GR	3
JERINGA 10ML CAJAX100UNID.	0u331
JERINGA 1ML CAJAX1OOUNID.	0u6
JERINGA 20ML CAJAX50UNID.	0u24
JERINGA 3ML	0u3
JERINGA 5ML CAJAX100UNID.	0u28
KETESSE AMPOLLA CAJAX5	0u31
LACTULOSA 3,3G/5ML SOLUCION ORALX120ML	2
LEVOFERIN JAB 30MG/5ML X100ML	5
LEVOFLOXACINO  500MG CAJAX100TABLETAS	0u18
LIDOCAINA 1% AMPOLLA 3,5ML	76
LIDOCAINA 2% FRASCO 20ML	2
LIKFERR +MATERIAL DE APLICACION	13
LLAVE TRIPLE VIA CAJAX200UNID.	0u14
LORATADINA 10MG TABLX100	0u62
LOSARTAN  50mg CAJAX100TABLETAS	0u1
MASCARILLA DE NEBULIZACION NINO	9
MASCARILLA DE OXIGENO PEDIATRICA	1
MASCARILLA NEBULIZADORA ADULTO	13
MEBO TUBOX30GR	1
MEGACILINA AMP 1'000,000 x1 C/DIS	1
METAMIZOL CAJA X100 AMPOLLAS	0u3
MUCOCAR 100MG/5ML X120ML SOLUCION ORAL	3
MUCOTRIM DILAT GOTx15ML	1
MULCEROL/ESOMEPRAZOL 40 TAB CAJX30	1u366
MULTIDERM CREMAX10GR	2
NAPROXENO 550 TABx100	0u42
NEO NISOPREX 15MG/5ML SOL.ORAL X 60ML	8
NEUROBION 1000 AMPOLLA  CAJAX3AMPOLLAS	4u69
NEUROBION 5000 GRAGEAS CAJAX60	0u34
NUTRACOL HYDROLYZED COLLAGEN 300G	4
NYLON #3	1
OMEPRAZOL 20MG CAJAX100CAPSULAS	0u4
OMEPRAZOL 40MG POLVO INYECTABLE CAJX10	0u5
ORFENADRINA 60mg/2ml CAJAX25 AMPOLLAS	0u81
ORFENADRINA CITRATO 100MG TABX100	0u9
OTOZAMBON SOLUCION OTICA X10ML	4
PARACETAMOL 120MG/5ML JARABE 60ML	5
PARACETAMOL 500MG TABX100	0u13
PARACETAMOL GOTAS 100MG/ML X10ML	3
PENICILINA PROCAIN 1000000 CAJAX10	0u37
PHYTO SOYA 17.5 MG CAJAX60 CAPSULAS	0u10
PREDNISONA 20mg CAJAX100TABLETAS	0u10
PROFENID AMP 100MGx2ML CAJX6	0u19
PROTEINAS BENCES JONES(IEF)ORINA 24HRS	1
PROTEINURIA 24Hr.	1
QUIMIZOL CREMA VAG 60GR	2
RANITIDINA 50MG/2ML AMPOLL  CAJX100	0u2
RAQUIFEROL D3	2
REACCION INFLAMATORIA EN HECES	8
REDEX 250MG TABLETA CAJAX140	0u27
RILATEN 20MG/2ML AMPOLLA CAJAX6	0u3
SOLUNA AMPx2ML	2
SUERO FISIOLOGICO DE 1 LITRO	6
TAMSULOSINA 0.4MG TABL CAJX50	1u40
TERBINAFINA 1% CREMA 20G	1
TERFITIL 1% SOLUCION TOPICA	3
UROFURIN 25MG/5ML SUSPX120ML	2
VERSATIS 5% LIDOCAINA700MG PARCHE	1
VITACOSE 2 ML INYECTABLE	5
VITAMINA B12	1
VITAVERAN CIP B12 JARABE	1
VITERNUM VITAMINICO POLV PARA SOLC 150ML	3
VIVERA CAJAX8	4u9
