úZethQuark Versi¢n 7.0ú                                                                                                      03/05/2025
POL.LOS ANGELES                        REPORTE INVENTARIO VALORIZADO X LINEA (FARMACOS) MOSTRADOR                              11:37:50
PRT282()                                                                                                                     Pag.-    1
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
BETADUO 5MG/2MG 1ML PRELLENADA               2         35.00      0.01           70.00             0.02            69.98
BETAHISTINA 24MG TAB                        44          3.00      1.25          132.00            55.00            77.00
BETAMETASONA 4MG/1ML AMP                    18         14.00      2.79          252.00            50.22           201.78
BIONIS 15MG/5ML SOL.ORAL X100ML              3         36.00     26.40          108.00            79.20            28.80
BISMOSAN SUSP X120ML                         2         14.00      7.50           28.00            15.00            13.00
BONACOXIB 90MG TAB                          55          4.00      1.14          220.00            62.70           157.30
BONAZOL 40MG TAB                           370          2.50      0.53          925.00           196.10           728.90
BROMELIN 0,88GR SUSP X100ML                 11         35.00     18.00          385.00           198.00           187.00
BROMURO DE IPRATROPIO 20MCG/D AEROSOL        5         40.00     14.00          200.00            70.00           130.00
BRONCODEX COMPUESTO JRBE X120ML              8         23.00     12.50          184.00           100.00            84.00
BRONCOXAN DILAT JRBE X120ML                  3         42.00     21.80          126.00            65.40            60.60
C-FLOX 500MG TAB                           100          1.40      0.20          140.00            20.00           120.00
CADELIUS 600MG/1000UL TAB X30                2         85.00     60.63          170.00           121.26            48.74
CAPTOPRIL 25MG TAB BLSTX10                  10          2.00      0.47           20.00             4.70            15.30
CEFALEXINA 250MG/5ML SUSPX60ML               2         11.00      7.99           22.00            15.98             6.02
CEFMARK 500MG CAP                          100          1.50      0.60          150.00            60.00            90.00
CEFTRIAXONA 1G AMP                          74          8.00      1.25          592.00            92.50           499.50
CELEPOXX 200MG CAP                         182          1.00      0.35          182.00            63.70           118.30
CIDOBEL 500MG CAP                          184          1.50      0.64          276.00           117.76           158.24
CIFLOXDAN 200MG/100ML AMP X100ML             3         13.50      3.40           40.50            10.20            30.30
CIPROFLOXACINO 500MG TAB BLSTX10            10          5.00      1.85           50.00            18.50            31.50
CLARIMED 250MG/5ML SUSP X60ML                6         70.00     41.30          420.00           247.80           172.20úZethQuark Versi¢n 7.0ú                                                                                                      03/05/2025
POL.LOS ANGELES                        REPORTE INVENTARIO VALORIZADO X LINEA (FARMACOS) MOSTRADOR                              11:38:15
PRT282()                                                                                                                     Pag.-    2
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
---------------------------------------------------------------------------------------------------------------------------------------
CLARITROX 500MG TAB                        328          2.50      1.50          820.00           492.00           328.00
CLAVULAB 875MG+125MG TAB                    98          3.00      1.79          294.00           175.42           118.58
CLAVUMOX 600 SUSP X100ML                     1         90.00     54.60           90.00            54.60            35.40
CLAVUTRIM 250MG/5ML SUSP X60ML               3         14.90      5.00           44.70            15.00            29.70
CLAVUTRIM CL PPS 250MG+62.5MG/5ML X60ML      4         30.00     10.50          120.00            42.00            78.00
CLENBUVENT GOTAS X15ML                       1         22.00     16.00           22.00            16.00             6.00
CLERILAX 250MG TAB                          20          3.50      2.19           70.00            43.80            26.20
CLINDA C 300MG CAP                          30          2.50      0.90           75.00            27.00            48.00
CLINDAMICINA 600MG/4ML AMP                  32          6.00      3.40          192.00           108.80            83.20
CLOBULER 15MG/5ML JRBE X100ML                4         14.00      6.90           56.00            27.60            28.40
CLOBULER DUO FORTE JRBE ADULTO X120ML        3         25.00     10.90           75.00            32.70            42.30
CLONAZEPAM 0.5MG TAB                       300          0.80      0.14          240.00            42.00           198.00
CLORFEDAN 10MG/1ML (IM/IV) AMP              17          5.60      0.65           95.20            11.05            84.15
CLORFENAMINA 2MG/5ML SOL.ORAL X60ML          2          5.00      2.00           10.00             4.00             6.00
CLORFENAMINA 4MG BLSTX10                    14          2.00      0.32           28.00             4.48            23.52
CLORURO DE SODIO 0,9% X100ML               302         10.00      1.80        3,020.00           543.60         2,476.40
CLORURO DE SODIO 0,9% X250ML                35         15.00      6.00          525.00           210.00           315.00
CLORURO DE SODIO 0,9% X500ML                 1          9.50      5.00            9.50             5.00             4.50
CLORURO DE SODIO 20% AMP                     9          2.00      1.00           18.00             9.00             9.00
CLOTRIALIV 2% CREMA X30G + APLICADOR         6         30.00      8.90          180.00            53.40           126.60
CORIFAN 1MG/1ML GOTAS X20ML                  3         30.00     21.00           90.00            63.00            27.00
CORTIFLEX 50MG/5ML AMP                       1         50.00      0.01           50.00             0.01            49.99
CYMAPRAM 10MG TAB                           60          3.00      0.97          180.00            58.20           121.80
CYTOTEC 200MCG TAB                          48         15.00      5.00          720.00           240.00           480.00
DELTIUS 22400 U.L TAB X1                     1         30.00     20.31           30.00            20.31             9.69
DEQUAZOL ORAL 250MG/5ML SUSP X120ML          2         53.00     39.80          106.00            79.60            26.40
DESAZONA 4MG TAB                            94          0.50      0.10           47.00             9.40            37.60
DEXAFLAM NF 2MG/5ML JRBE X100ML              4         23.00     13.00           92.00            52.00            40.00
DEXAFLAN 0.5MG/5ML SOL.ORAL X100ML           1         20.00      9.70           20.00             9.70            10.30
DEXCORTIL 4MG/2ML (IM/IV) AMP               16          4.70      0.47           75.20             7.52            67.68
DEXIDE SR 1000 TAB                         131          4.00      2.30          524.00           301.30           222.70
DEXIDE SR 500 TAB                           90          3.00      1.44          270.00           129.60           140.40
DEXIDE SR 750 TAB                           90          3.00      2.12          270.00           190.80            79.20
DEXTROSA 33.3% SOL.INY 20ML                  1          5.00      2.89            5.00             2.89             2.11
DEXTROSA 5% X1000ML                          4         10.00      5.00           40.00            20.00            20.00
DI-PROKET 150MG CAP                         94          4.00      1.68          376.00           157.92           218.08
DIAZEPAM 10MG/2ML AMP                        8         15.00      6.00          120.00            48.00            72.00
DICLOFENACO 50MG TAB BLSTX10                 4          3.00      0.80           12.00             3.20             8.80
DICLOFIX 75MG/3ML (IM) AMP                  99          5.00      0.47          495.00            46.53           448.47
DIGESTASE 80MG TAB                          60          1.50      0.89           90.00            53.40            36.60
DIMENS 5MG/5ML JRBE X120ML                   3         25.00      9.50           75.00            28.50            46.50
DIPHA-SCBIX 5% CREMA X30G                    5         45.00     32.00          225.00           160.00            65.00
DOBESIUM 100MCG TAB                        110          0.70      0.21           77.00            23.10            53.90
DOBESIUM 25MCG TAB                          50          0.50      0.22           25.00            11.00            14.00
DOBESIUM 50MCG TAB                          40          0.50      0.21           20.00             8.40            11.60
DOBESIUM 75MCG TAB                          50          0.70      0.23           35.00            11.50            23.50
DOLALIVIO COLIK TAB                         39          1.15      0.65           44.85            25.35            19.50
DOLO NEUROBION FORTE TAB                   100          2.50      1.00          250.00           100.00           150.00
DOLO-KET 60MG/2ML (IM) AMP                  30          4.90      1.12          147.00            33.60           113.40
DOLOL 100MG/1ML GOTAS X15ML                  4         10.00      5.57           40.00            22.28            17.72
DOLOL 160MG/5ML JRBE X60ML                   9         10.50      5.57           94.50            50.13            44.37
DOXICICLINA 100MG CAP                       99          0.90      0.17           89.10            16.83            72.27
DOXIPROCT PLUS POMADA X12G                   8         45.00     30.90          360.00           247.20           112.80
DR.FLU CAP.BLANDAS                          38          1.50      0.51           57.00            19.38            37.62
DULERGINA 5MG/5ML JRBE X100ML               19         24.00      9.85          456.00           187.15           268.85úZethQuark Versi¢n 7.0ú                                                                                                      03/05/2025
POL.LOS ANGELES                        REPORTE INVENTARIO VALORIZADO X LINEA (FARMACOS) MOSTRADOR                              11:38:38
PRT282()                                                                                                                     Pag.-    3
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
---------------------------------------------------------------------------------------------------------------------------------------
ENALAPRIL 20MG TAB BLSTX10                   2          4.00      0.90            8.00             1.80             6.20
ENZIMATIK CAP                               26          1.50      0.90           39.00            23.40            15.60
EPINEFRINA 1MG/ML AMP                        5          4.50      2.97           22.50            14.85             7.65
ERGICO 2.5MG/5ML SOL.ORAL X60ML              6         25.00     12.50          150.00            75.00            75.00
EVACUOL PLUS SOLUCION X266ML                 5         53.00     39.40          265.00           197.00            68.00
EYEMO COLIRIO 0.05% SOL.OFTA X8ML            7         14.90      7.40          104.30            51.80            52.50
FERROPRIME 100MG/5ML + MATERIAL             20         40.00      5.00          800.00           100.00           700.00
FERROSIL 100MG/5ML AMP.BEBIBLE              25          9.00      5.95          225.00           148.75            76.25
FISIOFER 40MG/15ML AMP.BEBIBLE               2          9.00      6.40           18.00            12.80             5.20
FISIOFER 40MG/15ML SOL.ORAL X120ML           1         40.00     26.31           40.00            26.31            13.69
FLEX 4MG TAB                                15          3.50      2.47           52.50            37.05            15.45
FLOREA CAP                                  14          3.00      1.75           42.00            24.50            17.50
FLUIMEXINA 600MG SOB                       194          3.50      0.88          679.00           170.72           508.28
FLUIMUCIL ORAL 200MG SOBRES                  3          2.50      0.01            7.50             0.03             7.47
FLUTOX 17.5MG/5ML SUSP X120ML                3         48.00     35.47          144.00           106.41            37.59
FOSFUROL 3G SOB X1                           3         48.00     36.00          144.00           108.00            36.00
FOSTER INHALADOR                             1        185.00    144.90          185.00           144.90            40.10
FUROSEMIDA 20MG/2ML AMP                     14          8.00      0.62          112.00             8.68           103.32
FUROSEMIDA 40MG TAB BLSTX10                  5          3.00      0.80           15.00             4.00            11.00
GASEOVET MS SUSP X220ML                     14         30.00     19.00          420.00           266.00           154.00
GEMULAX 25MG CAP X24                         3         16.00      0.01           48.00             0.03            47.97
GENTAMICINA 160MG/2ML AMP                   20          4.00      1.58           80.00            31.60            48.40
GENTAOFTAL 0.3% GOTAS SOL.OFTA X10ML         2         30.00      0.01           60.00             0.02            59.98
GESTAFOL 0.5MG TAB                          88          1.50      0.55          132.00            48.40            83.60
GINGISONA L NF TOQUES SOL.TOPICA X30ML       5         26.00     18.00          130.00            90.00            40.00
GINOFURAN XR 100MG CAP                      66          4.70      2.40          310.20           158.40           151.80
GLIBENCLAMIDA 5MG TAB BLSTX10               16          2.00      0.38           32.00             6.08            25.92
GLYCOLAX 17G SOB                            36          6.00      4.42          216.00           159.12            56.88
GRAVDAN 50MG/5ML (IM/IV) AMP                14          4.00      1.08           56.00            15.12            40.88
HEMOVIRON JRBE X340ML                        1         38.00     27.00           38.00            27.00            11.00
HEPABIONTA 2ML AMP                          65         25.00      6.00        1,625.00           390.00         1,235.00
HEPABIONTA GRAGEAS                         119          2.50      1.15          297.50           136.85           160.65
HEPTRAL 500MG TAB                            6          6.00      0.01           36.00             0.06            35.94
HIDROCLOROTIAZIDA 25MG TAB BLSTX10           9          3.00      1.30           27.00            11.70            15.30
HIDROCORTISONA 100MG AMP                     2          8.00      5.00           16.00            10.00             6.00
HIDROCORTISONA 250MG AMP                     6         20.00      9.60          120.00            57.60            62.40
HIOSIMOL10 10MG TAB                        105          0.90      0.33           94.50            34.65            59.85
HIRUDOID 0.300% POMADA X14GR                 7         22.00     14.90          154.00           104.30            49.70
HIRUDOID FORTE CREMA X14G                    8         42.50     24.60          340.00           196.80           143.20
HIRUDOID FORTE GEL X14GR                     8         55.00     24.80          440.00           198.40           241.60
HYALU-PLUS 30MG/2ML INYECTABLE               2        650.00    180.00        1,300.00           360.00           940.00
IBANCHECK 75MG CAP                          90          2.50      0.66          225.00            59.40           165.60
IBONIX 150MG TAB X1                          3         51.00     25.50          153.00            76.50            76.50
INMUNO PED SOBRE                           297          4.00      2.91        1,188.00           864.27           323.73
INSULINA APLICACION 1-3 WOSULIN N           11         20.00      3.74          220.00            41.14           178.86
ITUBIOT 500MG/2ML (IM/IV) AMP               40          5.70      1.78          228.00            71.20           156.80
KETALGESICO 25MG TAB                        54          3.50      1.50          189.00            81.00           108.00
KETOPROFENO 100MG/2ML (IM) AMP              10          5.50      1.88           55.00            18.80            36.20
KETOPROPHARM 100MG/5ML (IV) AMP            120         12.50      2.50        1,500.00           300.00         1,200.00
KIDCAL JRBE X180ML                           2         52.00     33.15          104.00            66.30            37.70
KITADOL MIGRA¥A TAB                         30          2.00      1.00           60.00            30.00            30.00
LACTULOSA 3.3G/5ML SOL.ORAL X120ML           3         21.00      7.50           63.00            22.50            40.50
LAGOSA 150MG TAB                           220          4.00      2.99          880.00           657.80           222.20
LANCIPROX 0.3% GOTAS X5ML                    4         40.00     24.50          160.00            98.00            62.00
LEVOCTRIM FORTE 750MG TAB                   14          4.00      1.61           56.00            22.54            33.46úZethQuark Versi¢n 7.0ú                                                                                                      03/05/2025
POL.LOS ANGELES                        REPORTE INVENTARIO VALORIZADO X LINEA (FARMACOS) MOSTRADOR                              11:39:08
PRT282()                                                                                                                     Pag.-    4
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
---------------------------------------------------------------------------------------------------------------------------------------
LEVOFLOXACINO 500MG TAB                    147          2.00      0.33          294.00            48.51           245.49
LIDOCAINA 2% X20ML AMP                      30          8.00      3.20          240.00            96.00           144.00
LINCOMAX 600MG/2ML (IM/IV) AMP              28          7.00      1.05          196.00            29.40           166.60
LINDONOSTRUM 2% GEL X30G                     1         20.00      9.90           20.00             9.90            10.10
LITIASIN K 1080 TAB                         40          2.00      1.41           80.00            56.40            23.60
LOPERAMIDA 2MG TAB BLSTX10                   3          3.00      0.80            9.00             2.40             6.60
LORATADINA 10MG TAB BLSTX10                  6          3.00      0.70           18.00             4.20            13.80
LOSARTAN 50MG TAB BLSTX10                   20          3.00      0.75           60.00            15.00            45.00
MAGNEROT 500MG TAB                          20          1.70      0.01           34.00             0.20            33.80
MEBO TUBO X15G                               2         75.00     50.71          150.00           101.42            48.58
MELATONIN 500MCG TAB.SUBLING X60             6         72.00     49.20          432.00           295.20           136.80
MELOXICAM 15MG TAB BLSTX10                  25          4.00      0.80          100.00            20.00            80.00
METAMIZOL 1G/2ML AMP                        38          4.00      0.59          152.00            22.42           129.58
METOCLONYL 10MG/2ML AMP                      9          6.00      0.88           54.00             7.92            46.08
METOCLOPRAMIDA 10MG TAB BLSTX10             15          3.00      0.90           45.00            13.50            31.50
METRONIDAZOL 500MG TAB                      86          0.50      0.10           43.00             8.60            34.40
METRONIDAZOL 500MG/100ML AMP X100ML          2         12.00      3.00           24.00             6.00            18.00
MILGAMMA 300 PROTEKT                         8          6.20                     49.60                             49.60
MILGAMMA MONO 150MG                         16          3.00                     48.00                             48.00
MOBILISIN GEL X40GR                          2         50.00     35.85          100.00            71.70            28.30
MOTRIF 1% GEL TUBO X50G                      6         14.00      5.50           84.00            33.00            51.00
MUCOBROL 300MG/3ML AMP                      13         15.00      7.50          195.00            97.50            97.50
MUCOCETIL 100MG/5ML SOL.ORAL X120ML          3         24.00     13.80           72.00            41.40            30.60
MUCOTRIM GOTx15ML                            1         19.00     12.50           19.00            12.50             6.50
NAXODOL 550MG TAB                           42          1.00      0.30           42.00            12.60            29.40
NISONA 5MG/5ML SUSP X100ML                   4         27.00     18.00          108.00            72.00            36.00
NORSPAN 10MG PARCHE                          2        170.00    114.69          340.00           229.38           110.62
NORSPAN 5MG PARCHE                           2        100.00     68.75          200.00           137.50            62.50
OMEPRAZOL 40MG AMP                          50          8.50      1.90          425.00            95.00           330.00
OMETAB 20MG TAB                            121          1.70      0.08          205.70             9.68           196.02
ORFEDRIN 100MG TAB                         120          1.50      0.62          180.00            74.40           105.60
ORFELAX 60MG/2ML (IM/IV) AMP                87          4.00      1.50          348.00           130.50           217.50
OTIDOL NF SOL.OTICA X5ML                     3         14.00      9.90           42.00            29.70            12.30
PALATOX 15MG/5ML JRBE X120ML                 1         13.90      3.90           13.90             3.90            10.00
PANTOPHARM 40MG AMP (EV)                     6         30.00     15.90          180.00            95.40            84.60
PANTOPRAZOL 20MG TAB                        20          1.50      0.87           30.00            17.40            12.60
PARACETAMOL 1000MG/100ML (IV) AMP            1         42.50     22.00           42.50            22.00            20.50
PARACETAMOL 500MG TAB BLSTX10               10          3.00      0.70           30.00             7.00            23.00
PARDIL 500MG TAB                            24          4.50      2.00          108.00            48.00            60.00
PASMODAN 20MG/ML (IM/IV) AMP                30          5.50      1.55          165.00            46.50           118.50
PEDIALYTE MAX SABOR UVA X500ML               3         10.00      0.01           30.00             0.03            29.97
PHYTO SOYA 17.5MG TAB                      120          2.20      1.59          264.00           190.80            73.20
PIRALGINA 250MG/5ML JRBE X50ML               2         12.00      7.00           24.00            14.00            10.00
PIRIALIV 100MG TAB                          96          1.00      0.27           96.00            25.92            70.08
PLIDOCHECK 400MG CAP                        83          0.80      0.28           66.40            23.24            43.16
PORTIL NF CREMA X20G                         5         10.00      3.90           50.00            19.50            30.50
PREDNISONA 5MG TAB BLSTX10                  14          2.00      0.50           28.00             7.00            21.00
PRIPAX 75MG CAPSULA                         13          3.70                     48.10                             48.10
PRODEFEN PLUS SOBRE                        172          9.00      6.11        1,548.00         1,050.92           497.08
PROFEKED 2.5% GEL X30G                       2         25.50     13.40           51.00            26.80            24.20
PROFEKET 100MG/2ML AMP X1                    1         17.50     10.00           17.50            10.00             7.50
PROFEKET 100MG/5ML AMP IV                    1         13.00      0.01           13.00             0.01            12.99
PRONOLIS HD 120MG/4.8ML MONO 2.5%            1       1300.00    890.00        1,300.00           890.00           410.00
PRONTEL 100MG/5ML JRBE X20ML                12         11.00      3.95          132.00            47.40            84.60
PROSTASIL 0.5MG CAP                         40          6.00      4.53          240.00           181.20            58.80úZethQuark Versi¢n 7.0ú                                                                                                      03/05/2025
POL.LOS ANGELES                        REPORTE INVENTARIO VALORIZADO X LINEA (FARMACOS) MOSTRADOR                              11:39:36
PRT282()                                                                                                                     Pag.-    5
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
---------------------------------------------------------------------------------------------------------------------------------------
RETEVEN 5MG TAB                             60          4.00      0.01          240.00             0.60           239.40
REXALER 2.5MG/5ML SOL.ORAL X60ML             6         25.00      8.90          150.00            53.40            96.60
RINOCLENIL 100MCG SUSP.NASAL X32ML           4         70.00     55.00          280.00           220.00            60.00
RINOFLUIMUCIL 10MG/1ML SOL.NASAL             1         65.00     47.34           65.00            47.34            17.66
ROWACHOL CAPSULAS                           71          2.50      1.45          177.50           102.95            74.55
ROWATINEX CAPSULAS                         246          2.50      1.11          615.00           273.06           341.94
SALBUTEX 100MCG AEROSOL X200DOSIS            8         15.00      4.50          120.00            36.00            84.00
SERTRALINA 50MG TAB                        200          0.80      0.27          160.00            54.00           106.00
SILENTUSS 30MG/5ML JRBE X120ML               4         32.00     21.50          128.00            86.00            42.00
SINGLOINT 20MG/2ML + MATERIAL                1        350.00    150.00          350.00           150.00           200.00
SINVIRAL SOL.GOTAS X20ML                     6         45.00     36.19          270.00           217.14            52.86
SUEROVIT 2ML AMP                             2         40.00     12.72           80.00            25.44            54.56
SULFANIL 1% CREMA 50G                        4         20.00     11.90           80.00            47.60            32.40
TERBIFUN 1% SPRAY X30ML                      5         27.00     12.50          135.00            62.50            72.50
TERBINAFINA 250MG TAB                       85          1.00      0.36           85.00            30.60            54.40
TERFITIL 1% CREMA X20G                       6         16.00      6.90           96.00            41.40            54.60
THIOGAMMA 600MG TAB                          6          6.80      0.01           40.80             0.06            40.74
TOPIMICYN NF UNGUENTO X14G                   7         30.00     13.00          210.00            91.00           119.00
TRAMADOL 50MG/1ML AMP                        8          5.00      1.09           40.00             8.72            31.28
TRANEXCHYK 1G/10ML (IV) AMP                  5         30.00      1.00          150.00             5.00           145.00
TRICOFAR ORAL 500MG TAB                    645          1.50      0.71          967.50           457.95           509.55
TRIGLIOUT 100MG TAB                        139          3.50      1.65          486.50           229.35           257.15
TRINALER 5% CREMA X10G                       4         32.00     23.16          128.00            92.64            35.36
UROFURIN 100MG TAB                          62          2.20      1.48          136.40            91.76            44.64
UROFURIN 25MG/5ML SUSP X120ML                4         38.00     24.90          152.00            99.60            52.40
VAGISTEN 0.1% CREMA X15G                     5         45.00     33.50          225.00           167.50            57.50
VARICOSIN 500MG CAPSULA                      2          2.00      0.01            4.00             0.02             3.98
VAXIGEL OVULOS                              68          4.00      1.40          272.00            95.20           176.80
VELTAM 0.4MG TAB                           171          3.00      0.19          513.00            32.49           480.51
VERSATIS 5% 700MG PARCHE                    21         35.00      0.01          735.00             0.21           734.79
VINIL 75MG/3ML (IM/IV) AMP                  48          8.50      4.20          408.00           201.60           206.40
VITACOSE 2ML INYECTABLE                     49         20.00      9.00          980.00           441.00           539.00
VOMIXTAL 50MG TAB                           70          1.00      0.29           70.00            20.30            49.70
Z-MOL 1G TAB                               178          1.00      0.36          178.00            64.08           113.92
ZETALER 5MG/5ML SUSPESION X 60ML             1         40.00      0.01           40.00             0.01            39.99
ZITROLAB 200MG/5ML SUSP X15ML                2         30.00     10.50           60.00            21.00            39.00
---------------------------------------------------------------------------------------------------------------------------------------
T O T A L E S :                                                              54,929.95        22,514.00        32,415.95
---------------------------------------------------------------------------------------------------------------------------------------