úZethQuark Versi¢n 7.0ú                                               03/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 03/04/2025 AL 03/05/2025        18:10:16
PRT123()                                                              Pag.-    1
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
CEFTRIAXONA 1G AMP                             74             38           ELI
CELEPOXX 200MG CAP                            182             18           CLA
CERT. MEDICO DOCUMENTO                       9998              1           MAR
CERT. MEDICO LLENADO                         9997              4           ELI
CIDOBEL 500MG CAP                             184              6           FAB
CIPROFLOXACINO 500MG TAB BLSTX10               10              3           EFR
CLARITROX 500MG TAB                           328             92           ELI
CLAVUTRIM 250MG/5ML SUSP X60ML                  3              2           ELI
CLAVUTRIM CL PPS 250MG+62.5MG/5ML X60ML         4              4           ELI
CLOBULER 15MG/5ML JRBE X100ML                   4              1           FAB
CLORFEDAN 10MG/1ML (IM/IV) AMP                 17              2           FAB
CLORFENAMINA 2MG/5ML SOL.ORAL X60ML             2              4           FAB
CLORFENAMINA 4MG BLSTX10                       14              1           FABúZethQuark Versi¢n 7.0ú                                               03/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 03/04/2025 AL 03/05/2025        18:10:24
PRT123()                                                              Pag.-    2
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
CLORURO DE SODIO 0,9% X100ML                  301            170           CLA
CLORURO DE SODIO 0,9% X250ML                  135             45           CLA
COLAG HP 420GR VAINILLA                         4              3           FAB
COLESTEROL                                    924              1           CLA
CONSULTA MEDICINA GENERAL DR B.BAYONA           0             15           FAB
CONSULTA MEDICINA GENERAL DR M.DIAZ           994              6           ELI
CONSULTA MEDICINA GENERAL DR M.MOLINA         756            168           CLA
CONSULTA MEDICINA GENERAL DRA K.TORRES        989              9           FAB
CONSULTA MEDICINA GENERAL DRA M.MAITA           0              4           CLA
COPROLOGICO FUNCIONAL                         728              3           CLA
CREATINA                                      871              1           CLA
CREATININA                                    997              6           FAB
CULTIVO DE SEC.VAGINAL                        953              1           CLA
CULTIVO DE SECRECION FARINGEA                 930              1           CLA
CURACION                                      930              1           MAR
DESAZONA 4MG TAB                               94              6           FAB
DEXCORTIL 4MG/2ML (IM/IV) AMP                  16             11           FAB
DEXIDE SR 1000 TAB                            131             27           ELI
DI-PROKET 150MG CAP                            94              6           FAB
DICLOFENACO 50MG TAB BLSTX10                    4              1           FAB
DICLOFIX 75MG/3ML (IM) AMP                     98             46           CLA
DIMENS 5MG/5ML JRBE X120ML                      3              3           ELI
DOLALIVIO COLIK TAB                            39              9           GEN
DOLOL 100MG/1ML GOTAS X15ML                     4              1           ELI
DOLOL 160MG/5ML JRBE X60ML                      9              3           ELI
DOMICILIO TOMA DE MUESTRA                    9996              2           FAB
DRENAJE DE ABCESO PEQUE;O MENOR DE 2 CM       498              1           CLA
DULERGINA 5MG/5ML JRBE X100ML                  19              1           FAB
ENALAPRIL 20MG TAB BLSTX10                      2              2           CLA
ENDOVENOSO INSULINA ISOFANA HUMANA              0              1           MAR
ENDOVENOSO INTERNO                          44958            112           ELI
ENTEROGERMINA AMP.BEBIBLE                       0             32           FAB
EQUIPO DE VENOCLISIS 20GOT/ML                 401             86           ELI
EQUIPO MICROGOTERO CON VOLUTROL 100ML          14              5           ELI
ESPECULO TALLA M                               10              1           CLA
EXTRACCION DE U¥AS X1                        9994              1           MAR
FACTOR REUMATOIDE CUANTITATIVO                946              1           CLA
FLEX 4MG TAB                                   15             15           FAB
FLOREA CAP                                     14             49           FAB
FLUIMEXINA 600MG SOB                          194             40           MAR
FOSFUROL 3G SOB X1                              3              1           EFR
FOSTER INHALADOR                                1              1           ELI
FRASCO PARA M.HECES                           205             62           CLA
FRASCO PARA M.ORINA                           266             57           ELI
FROTIS DIRECTO(KOH-HONGOS)                    720              4           ELI
FRUTI FLEX FRESA X1L                           12              7           FAB
GASA 10X10                                    136             31           ELI
GASEOVET MS SUSP X220ML                        14             17           ELI
GENOGEL PLUS POTE X500G                         4              3           FAB
GERIA CARE POTE X1000G                          0              1           ELI
GINGISONA L NF TOQUES SOL.TOPICA X30ML          5              3           CLA
GLIBENCLAMIDA 5MG TAB BLSTX10                  16              4           CLA
GLUCENIL D POTE X1000G                          4              1           FAB
GLUCOSA                                      8614             24           FAB
GLUCOSA POST PRANDIAL                         993              1           CLAúZethQuark Versi¢n 7.0ú                                               03/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 03/04/2025 AL 03/05/2025        18:10:24
PRT123()                                                              Pag.-    3
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
GLUCOTECH                                      47             31           ELI
GLYCOLAX 17G SOB                               36              1           FAB
GRAHAM ACAROS                                 796              3           FAB
GRAVDAN 50MG/5ML (IM/IV) AMP                   14              1           MAR
GUANTES QUIRURGICO TALLA 7.5                   29              1           CLA
HCG PRUEBA EMBARAZO RAPIDA                     25             15           ELI
HCG SUB UNIDAD BETA CUANTITATIVO              892              1           CLA
HELICOBACTER IGG                              932              1           CLA
HELICOBACTER IGM                             9999             25           ELI
HELICOBACTER PYORI ANTIGENO FECALES          9998              2           FAB
HEMOG. GLICOSILADA                          10002              6           FAB
HEMOGLOBINA HEMATOCRITO                       705              2           CLA
HEMOGRAMA COMPLETO                          10011             43           ELI
HEPABIONTA 2ML AMP                             64             23           JES
HEPABIONTA GRAGEAS                            119              1           FAB
HEPATITIS B ANTIGENO AUSTRALIANO              979              1           FAB
HIDATIDOSIS ELISA                             997              1           FAB
HIV                                         10012              1           GEN
HORMONAL FEMENINO(FSH-LH ESTRADIOL)           988              1           MAR
IBUSOL 100MG/5ML SUSP X60ML                     0              8           CLA
INMUNO PED SOBRE                              297             40           CLA
INMUNOGLOBULINA E                             939              1           FAB
INSULINA                                      825              1           CLA
INSULINA APLICACION 1-3 WOSULIN N              11              7           ELI
INYECTABLE   INTRAMUSCULAR EXTERNO           1329             13           CLA
JERINGA 10ML                                  503            141           CLA
JERINGA 1ML                                   177              6           ELI
JERINGA 20ML                                  687            169           ELI
JERINGA 3ML                                   199              2           EFR
JERINGA 5ML                                    60              3           CLA
KETOPROFENO 100MG/2ML (IM) AMP                 10              4           CLA
KETOPROPHARM 100MG/5ML (IV) AMP               120             59           ELI
LAVADO DE OIDO I                             9996              2           FAB
LAVADO DE OIDO II                            1803              1           CLA
LIDOCAINA 2% X20ML AMP                         30              9           JES
LINCOMAX 600MG/2ML (IM/IV) AMP                 28             19           FAB
LINDONOSTRUM 2% GEL X30G                        1              1           CLA
LLAVE TRIPLE VIA                              177             66           ELI
LORATADINA 10MG TAB BLSTX10                     6              1           CLA
MASCARILLA NEBULIZADORA (ADULTO)               53              1           MAR
MASCARILLA NEBULIZADORA (PEDIATRICO)           49              2           FAB
MEGADERM CREMA X10G                             0              1           FAB
METAMIZOL 1G/2ML AMP                           38              6           ELI
METOCLONYL 10MG/2ML AMP                         9              1           CLA
MICROALBUMINURIA ORINA SIMPLE                9999              3           FAB
MOBILISIN GEL X40GR                             2              4           FAB
MUCOBROL 300MG/3ML AMP                         13              3           FAB
MUCOCETIL 100MG/5ML SOL.ORAL X120ML             3              3           CLA
MULCEROL 40MG TAB                               0             55           MAR
NAXODOL 550MG TAB                              42             18           FAB
NEBULIZACION X 3                             9996              4           CLA
NEUMOPUL POTE 500G VAINILLA                     5              1           FAB
NORSPAN 5MG PARCHE                              2              2           CLA
NYLON #4                                       44              1           EFR
OMEPRAZOL 40MG AMP                             50             33           CLAúZethQuark Versi¢n 7.0ú                                               03/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 03/04/2025 AL 03/05/2025        18:10:24
PRT123()                                                              Pag.-    4
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
OMETAB 20MG TAB                               121              4           FAB
ORFELAX 60MG/2ML (IM/IV) AMP                   86             48           CLA
ORINA COMPLETA                               7543             54           ELI
OTIDOL NF SOL.OTICA X5ML                        3              4           FAB
OXIGENO 1 LITRO                               974              2           FAB
PALATOX 15MG/5ML JRBE X120ML                    1              2           CLA
PANEL DE ALERGIA(32 ALERGENOS)IGE ESPEC.      939              1           FAB
PANTOPHARM 40MG AMP (EV)                        6              3           CLA
PANTOPRAZOL 20MG TAB                           20             10           CLA
PAPANICOLAOU                                  838              1           CLA
PARACETAMOL 1000MG/100ML (IV) AMP               1              4           FAB
PARACETAMOL 120MG/5ML SOL.ORAL X60ML            0              2           FAB
PARACETAMOL 500MG TAB BLSTX10                  10              3           ELI
PARASITOLOGICO SIMPLE                         581             40           ELI
PARASITOLOGICO X3                            9961              8           CLA
PASAJE DOMICILIO 6                           9981              2           FAB
PASMODAN 20MG/ML (IM/IV) AMP                   30              3           FAB
PCR CUANTITATIVA                             9998              5           ELI
PEDIALYTE MAX SABOR UVA X500ML                  3              3           CLA
PERFIL DE COAGULACION                         979              2           ELI
PERFIL HEPATICO                              1003             20           CLA
PERFIL LIPIDICO                              1032             30           CLA
PERFIL REUMATICO                             1011              9           FAB
PERFIL TIROIDEO                               937              1           ELI
PLIDOCHECK 400MG CAP                           83             13           CLA
PORTIL NF CREMA X20G                            5              1           CLA
PRESION                                      1578              1           FAB
PRODEFEN PLUS SOBRE                           172             23           FAB
PROFEKED 2.5% GEL X30G                          2              1           FAB
PRONOLIS HD 120MG/4.8ML MONO 2.5%               1              2           CLA
PRONTEL 100MG/5ML JRBE X20ML                   12              1           MAR
PROTEVIT KIDS POTE 1000G VAINILLA               2              1           FAB
PRUEBA DE ALERGIA                             965              2           CLA
PSA TOTAL                                    1007              1           CLA
REACCION INFLAMATORIA EN HECES               9915             14           CLA
RETIRO DE PUNTOS MAYOR A 5 PUNTOS            9999              1           FAB
RETIRO DE PUNTOS MENOR DE 5 PUNTOS           9999              1           FAB
RODILLERA COMPRESION STANDAR                    1              2           CLA
ROTAVIRUS                                     999              1           FAB
RX COLUMNA LUMBO SACRO F - L                 9995              8           ELI
RX PARRILLA COSTAL C/LADO                    9998              1           CLA
RX RODILLA F y L C/LADO                      9996              4           FAB
RX RODILLAS COMPARATIVAS                     9997              2           FAB
RX TOBILLO F y L C/LADO                      9998              1           CLA
RX TORAX AP                                   960              8           ELI
SUERO FISIOLOGICO X1000ML                       0              9           ELI
SUEROVIT 2ML AMP                                2             10           MAR
SUMAQ MUJER POTE 500G AGUAJE                    3              1           MAR
SUTURA MENOR                                  999              1           EFR
T3 LIBRE                                      908              3           FAB
T4 LIBRE                                     1001              4           FAB
TERBIFUN 1% SPRAY X30ML                         5              3           CLA
TERBINAFINA 250MG TAB                          85             42           CLA
TEST GRAHAM(OXIURUS)                         9953              7           CLA
THEVENON                                     9992              6           FABúZethQuark Versi¢n 7.0ú                                               03/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 03/04/2025 AL 03/05/2025        18:10:24
PRT123()                                                              Pag.-    5
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
TRICOFAR ORAL 500MG TAB                       645            158           ELI
TRIGLICERIDOS                                 932              1           CLA
TRIGLIOUT 100MG TAB                           139              5           FAB
TSH ULTRASENSIBLE                           10002              4           FAB
UREA                                        10003              5           FAB
UROCULTIVO                                    987             16           ELI
UROFURIN 25MG/5ML SUSP X120ML                   4              1           MAR
VACUNA INFLUENZA PRE-VTA.                     998              2           MAR
VAGISTEN 0.1% CREMA X15G                        5              2           ELI
VENDA ELASTICA 5X5                             23              2           MAR
VITACARE POTE 1000G VAINILLA                    6              5           FAB
VITACOSE 2ML INYECTABLE                        49             34           ELI
VOMIXTAL 50MG TAB                              70             10           FAB
Z-MOL 1G TAB                                  178              2           FAB
ZITRAT MG 300G PI¥A                             1              1           CLA
ZITROLAB 200MG/5ML SUSP X15ML                   2              7           CLA
--------------------------------------------------------------------------------
T O T A L:   236
--------------------------------------------------------------------------------