Columna1	Columna2	Columna3	Columna4	Columna5
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15179	PERFIL HEPATICO	1	55	55
15182	PERFIL REUMATICO	1	105	105
15182	PERFIL REUMATICO	1	105	105
15182	PERFIL REUMATICO	1	105	105
15182	PERFIL REUMATICO	1	105	105
15182	PERFIL REUMATICO	1	105	105
15182	PERFIL REUMATICO	1	105	105
15182	PERFIL REUMATICO	1	105	105
15182	PERFIL REUMATICO	1	105	105
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15185	GLUCOSA	1	13	13
15186	HEMOG. GLICOSILADA	1	55	55
15186	HEMOG. GLICOSILADA	1	55	55
15186	HEMOG. GLICOSILADA	1	55	55
15186	HEMOG. GLICOSILADA	1	55	55
15186	HEMOG. GLICOSILADA	1	55	55
15186	HEMOG. GLICOSILADA	1	55	55
15186	HEMOG. GLICOSILADA	1	55	55
15186	HEMOG. GLICOSILADA	1	55	55
15194	UREA	1	15	15
15194	UREA	1	15	15
15194	UREA	1	15	15
15194	UREA	1	15	15
15194	UREA	1	15	15
15194	UREA	1	15	15
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15204	HELICOBACTER IGM	1	55	55
15205	HELICOBACTER IGG	1	60	60
15208	TSH ULTRASENSIBLE	1	50	50
15208	TSH ULTRASENSIBLE	1	55	55
15208	TSH ULTRASENSIBLE	1	50	50
15208	TSH ULTRASENSIBLE	1	50	50
15208	TSH ULTRASENSIBLE	1	50	50
15210	T3 LIBRE	1	45	45
15210	T3 LIBRE	1	50	50
15210	T3 LIBRE	1	45	45
15210	T3 LIBRE	1	45	45
15214	FROTIS DIRECTO(KOH-HONGOS)	1	25	25
15214	FROTIS DIRECTO(KOH-HONGOS)	1	25	25
15214	FROTIS DIRECTO(KOH-HONGOS)	1	25	25
15218	CULTIVO DE SEC.VAGINAL	1	60	60
15219	UROCULTIVO	1	40	40
15219	UROCULTIVO	1	40	40
15219	UROCULTIVO	1	40	40
15219	UROCULTIVO	1	40	40
15219	UROCULTIVO	1	40	40
15219	UROCULTIVO	1	40	40
15219	UROCULTIVO	1	40	40
15219	UROCULTIVO	1	40	40
15219	UROCULTIVO	1	40	40
15219	UROCULTIVO	1	40	40
15219	UROCULTIVO	1	40	40
15219	UROCULTIVO	1	40	40
15219	UROCULTIVO	1	40	40
15219	UROCULTIVO	1	40	40
15219	UROCULTIVO	1	40	40
15220	CULTIVO DE SECRECION FARINGEA	1	60	60
15222	COPROLOGICO FUNCIONAL	1	25	25
15222	COPROLOGICO FUNCIONAL	1	25	25
15222	COPROLOGICO FUNCIONAL	1	25	25
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15223	PARASITOLOGICO SIMPLE	1	12	12
15224	PARASITOLOGICO X3	1	29	29
15224	PARASITOLOGICO X3	1	29	29
15224	PARASITOLOGICO X3	1	29	29
15224	PARASITOLOGICO X3	1	29	29
15224	PARASITOLOGICO X3	1	29	29
15224	PARASITOLOGICO X3	1	29	29
15224	PARASITOLOGICO X3	1	29	29
15225	TEST GRAHAM(OXIURUS)	1	10	10
15225	TEST GRAHAM(OXIURUS)	1	10	10
15225	TEST GRAHAM(OXIURUS)	1	10	10
15225	TEST GRAHAM(OXIURUS)	1	10	10
15225	TEST GRAHAM(OXIURUS)	1	10	10
15225	TEST GRAHAM(OXIURUS)	1	10	10
15225	TEST GRAHAM(OXIURUS)	1	10	10
15225	TEST GRAHAM(OXIURUS)	1	10	10
15226	THEVENON	1	25	25
15226	THEVENON	1	25	25
15226	THEVENON	1	25	25
15226	THEVENON	1	25	25
15226	THEVENON	1	25	25
15226	THEVENON	1	25	25
15227	REACCION INFLAMATORIA EN HECES	1	25	25
15227	REACCION INFLAMATORIA EN HECES	1	25	25
15227	REACCION INFLAMATORIA EN HECES	1	25	25
15227	REACCION INFLAMATORIA EN HECES	1	25	25
15227	REACCION INFLAMATORIA EN HECES	1	25	25
15227	REACCION INFLAMATORIA EN HECES	1	25	25
15227	REACCION INFLAMATORIA EN HECES	1	25	25
15227	REACCION INFLAMATORIA EN HECES	1	25	25
15227	REACCION INFLAMATORIA EN HECES	1	25	25
15227	REACCION INFLAMATORIA EN HECES	1	25	25
15227	REACCION INFLAMATORIA EN HECES	1	25	25
15227	REACCION INFLAMATORIA EN HECES	1	25	25
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15228	AGLUTINACIONES	1	23	23
15232	INYECTABLE   INTRAMUSCULAR EXTERNO	1	5	5
15232	INYECTABLE   INTRAMUSCULAR EXTERNO	1	5	5
15232	INYECTABLE   INTRAMUSCULAR EXTERNO	1	5	5
15232	INYECTABLE   INTRAMUSCULAR EXTERNO	1	5	5
15232	INYECTABLE   INTRAMUSCULAR EXTERNO	1	5	5
15232	INYECTABLE   INTRAMUSCULAR EXTERNO	1	5	5
15232	INYECTABLE   INTRAMUSCULAR EXTERNO	1	5	5
15232	INYECTABLE   INTRAMUSCULAR EXTERNO	1	5	5
15232	INYECTABLE   INTRAMUSCULAR EXTERNO	1	5	5
15232	INYECTABLE   INTRAMUSCULAR EXTERNO	1	5	5
15232	INYECTABLE   INTRAMUSCULAR EXTERNO	1	5	5
15232	INYECTABLE   INTRAMUSCULAR EXTERNO	1	5	5
15232	INYECTABLE   INTRAMUSCULAR EXTERNO	1	5	5
15232	INYECTABLE   INTRAMUSCULAR EXTERNO	1	5	5
15233	PRESION	1	2	2
15236	CERT. MEDICO LLENADO	1	30	30
15236	CERT. MEDICO LLENADO	1	30	30
15236	CERT. MEDICO LLENADO	1	30	30
15237	CERT. MEDICO DOCUMENTO	1	20	20
15261	LAVADO DE OIDO I	1	20	20
15261	LAVADO DE OIDO I	1	20	20
15261	LAVADO DE OIDO I	1	20	20
15262	LAVADO DE OIDO II	1	35	35
15264	T4 LIBRE	1	45	45
15264	T4 LIBRE	1	45	45
15264	T4 LIBRE	1	45	45
15264	T4 LIBRE	1	45	45
15264	T4 LIBRE	1	45	45
15265	BK DIRECTO	2	20	40
15266	GRAHAM ACAROS	1	25	25
15266	GRAHAM ACAROS	1	25	25
15266	GRAHAM ACAROS	1	25	25
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15288	ORINA COMPLETA	1	15	15
15297	INMUNOGLOBULINA E	1	60	60
15310	HIV	1	30	30
15314	ASO LATEX	1	20	20
15343	RX RODILLA F y L C/LADO	1	60	60
15343	RX RODILLA F y L C/LADO	1	60	60
15343	RX RODILLA F y L C/LADO	1	60	60
15343	RX RODILLA F y L C/LADO	1	60	60
15345	RX RODILLAS COMPARATIVAS	1	110	110
15345	RX RODILLAS COMPARATIVAS	1	110	110
15371	HCG SUB UNIDAD BETA CUANTITATIVO	1	45	45
15399	ADENOVIRUS HECES	1	90	90
15403	ALBUMINA SUERO	1	18	18
15550	COLESTEROL	1	15	15
15550	COLESTEROL	1	15	15
15572	CREATINA	1	70	70
15685	GLUCOSA POST PRANDIAL	1	15	15
15704	HEMOGLOBINA HEMATOCRITO	1	10	10
15704	HEMOGLOBINA HEMATOCRITO	1	10	10
15726	HIDATIDOSIS ELISA	1	150	150
15764	INSULINA	1	50	50
15809	MICROALBUMINURIA ORINA SIMPLE	1	63	63
15809	MICROALBUMINURIA ORINA SIMPLE	1	63	63
15809	MICROALBUMINURIA ORINA SIMPLE	1	63	63
15828	PANEL DE ALERGIA(32 ALERGENOS)IGE ESPEC.	1	210	210
15830	PAPANICOLAOU	1	50	50
15881	PSA TOTAL	1	50	50
15890	ROTAVIRUS	1	100	100
15904	SODIO	1	20	20
15944	TRIGLICERIDOS	1	15	15
15944	TRIGLICERIDOS	1	15	15
15967	ABOCAT #22	1	5	5
15967	ABOCAT #22	1	5	5
15967	ABOCAT #22	1	5	5
15967	ABOCAT #22	1	5	5
15967	ABOCAT #22	1	5	5
15967	ABOCAT #22	1	5	5
15967	ABOCAT #22	1	5	5
15967	ABOCAT #22	1	5	5
15967	ABOCAT #22	1	5	5
15967	ABOCAT #22	1	5	5
15967	ABOCAT #22	1	5	5
15967	ABOCAT #22	1	5	5
15971	HEPATITIS B ANTIGENO AUSTRALIANO	1	60	60
16002	CLORFENAMINA 2MG/5ML SOL.ORAL X60ML	1	5	5
16002	CLORFENAMINA 2MG/5ML SOL.ORAL X60ML	1	5	5
16002	CLORFENAMINA 2MG/5ML SOL.ORAL X60ML	1	5	5
16002	CLORFENAMINA 2MG/5ML SOL.ORAL X60ML	1	5	5
16031	BROMURO DE IPRATROPIO 20MCG/D AEROSOL	1	40	40
16079	MASCARILLA NEBULIZADORA (PEDIATRICO)	1	12	12
16079	MASCARILLA NEBULIZADORA (PEDIATRICO)	1	12	12
16341	CIDOBEL 500MG CAP	6	1.5	9
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	3	1.5	4.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	2	1.5	3
16348	FRASCO PARA M.HECES	3	1.5	4.5
16348	FRASCO PARA M.HECES	3	1.5	4.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	2	1.5	3
16348	FRASCO PARA M.HECES	2	1.5	3
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	1	1.5	1.5
16348	FRASCO PARA M.HECES	4	1.5	6
16348	FRASCO PARA M.HECES	1	1.5	1.5
