úZethQuark Versi¢n 7.0ú									6/01/2024
POL.LOS ANGELES	RE	P	ORTE	INVENTARIO	VALORIZADO	X LINEA MOSTRADOR			18:49:42
MINOCICLINA 100MG X10 CAPSULAS	0	u	5	20	10	10	5	5	
MUCOCAR 100MG/5ML X120ML SOLUCION ORAL	2			32	20	64	40	24	
MUCOTRIM GOTx15ML	1			19	12.5	19	12.5	6.5	
NAPROXENO 550 TABx100	0	u	6	50	30	3	1.8	1.2	
NEO NISOPREX 15MG/5ML SOL.ORAL X 60ML	3			26	19.5	78	58.5	19.5	
NORSPAN 10MG/PARCHE	1			135	100	135	100	35	
NORSPAN 5MG PARCHE	2			80	60	160	120	40	
NOTIPHARM CREMA 20g TUBO	1			16	9	16	9	7	
NUCLEO CMP FORTE CAJAX20 CAPSULAS	2			100	74.6	200	149.2	50.8	
OMEPRAZOL 20MG CAJAX100CAPSULAS	0	u	80	50	14	40	11.2	28.8	
OMEPRAZOL 40MG POLVO INYECTABLE CAJX10	0	u	5	80	23.2	40	11.6	28.4	
ORFENADRINA 60mg/2ml CAJAX25 AMPOLLAS	0	u	12	112.5	29	54	13.92	40.08	
PARACETAMOL 100MG/ML X10MLGOTAS	1			3	1.9	3	1.9	1.1	
PARACETAMOL 120 MG / 5ML X 60 ML	1			6	3.8	6	3.8	2.2	
PARACETAMOL 120MG/5ML JARABEX120ML	2			8.5	5.5	17	11	6	
PARACETAMOL 500MG TABX100	0	u	45	50	9.5	22.5	4.28	18.23	
PENICILINA PROCAIN 1000000 CAJAX10	0	u	2	85	12	17	2.4	14.6	
PERCOF 30MG/5ML JARABE 120ML	3			25	15	75	45	30	
PHYTO SOYA 17.5 MG CAJAX60 CAPSULAS	0	u	5	132	110.8	11	9.23	1.77	
PIRALGINA250MG/5ML JARABE	1			12	7	12	7	5	
PORTIL CREx20GR	2			7	3.8	14	7.6	6.4	
PREDNISONA 5mg CAJAX100TABLETAS	1			20	8	20	8	12	
PROCEDIMIENTO MEDICO  100	989			100		98,900.00		98,900.00	
RANITIDINA 50MG/2ML AMPOLL  CAJX100	0	u	6	500	120	30	7.2	22.8	
RILATEN 20MG/2ML AMPOLLA CAJAX6	0	u	1	150	60	25	10	15	
ROWACHOL  CAPSULAX100UNID.	0	u	49	160	105	78.4	51.45	26.95	
ROWATINEX TABX100	1			180	111.5	180	111.5	68.5	
SALBUTAMOL AERO 100MCG FRASCOX200DOSIS	1			15	7.3	15	7.3	7.7	
SERTRALINA 50MG GENFAR TABX100	1			80	39	80	39	41	
SILENTUSS LEVODROPROPIZINA JARABE 120ML	1			32	21.5	32	21.5	10.5	
SOLUNA AMPx2ML	2			25	12.9	50	25.8	24.2	
SPASMOMEN 40MG TABLETA CAJAX30	0	u	15	105	80	52.5	40	12.5	
SUERO FISIOLOGICO DE 1 LITRO	2			10	3.5	20	7	13	
SULFAMET + TRIMET 800MG/160MG CAJAX100TA	0	u	90	50	19	45	17.1	27.9	
TAMSULOSINA 0.4MG X30	1	u	10	45		60		60	
TERBINAFINA 1% CREMA 20G	2			9	4.6	18	9.2	8.8	
TERBINAFINA 250MG TABX100	0	u	26	100	45	26	11.7	14.3	
TRANSAMIN 1G/10ML CAJA X 1 AMPOLLA	1			55	42.3	55	42.3	12.7	
TUSSIS OM JARABEX100ML	2			21	10.3	42	20.6	21.4	
VELAMOX 250 SUSP 60ML	1			17	9.8	17	9.8	7.2	
VITACOSE 2 ML INYECTABLE	61			20		1,220.00		1,220.00	
VIVERA CAJAX8	2			40	25	80	50	30	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
S U B    T O T A L:						107,239.90	3,288.01	103,951.89	
CERTIFCADO MEDICO									
-----------------									
CERT. MEDICO LLENADO	8			30	15	240	120	120	
CERTIF. DE MATRIMONIO	971			140	100	135,940.00	97,100.00	38,840.00	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
S U B    T O T A L:						136,180.00	97,220.00	38,960.00	
CONSULTA									
--------									
CONSULTA NEUMOLOGIA	99999			100	50	9,999,900.00	4,999,950.00	4,999,950.00	
CONSULTA REUMATOLOGO CUBANO	55			50	40	2,750.00	2,200.00	550	
CONSULTA SOU	888			50	30	44,400.00	26,640.00	17,760.00	
PSICOLOGIA LIC YAHAIRA	82			50	25	4,100.00	2,050.00	2,050.00	
TRAUMATOLOGIA DR CORAL	883			70		61,810.00		61,810.00	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
S U B    T O T A L:						10,112,960.00	5,030,840.00	5,082,120.00	
---------									
ECO ABDOMEN COMPLETO	100			120		12,000.00		12,000.00	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
ECO ABDOMEN INFERIOR	100			100		10,000.00		10,000.00	
ECO ABDOMEN SUPERIOR	100			100		10,000.00		10,000.00	
ECO PARED ABDOMINAL	100			100		10,000.00		10,000.00	
ECO PELVICA	100			100	50	10,000.00	5,000.00	5,000.00	
ECO TRANSVAGINAL	100			120		12,000.00		12,000.00	
ECO VEJIGA PROSTATA	100			100		10,000.00		10,000.00	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
S U B    T O T A L:						74,000.00	5,000.00	69,000.00	
ELECTROCARDIOGRAMA									
------------------									
ELECTROCARDIOGRAMA	811			50	25	40,550.00	20,275.00	20,275.00	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
S U B    T O T A L:						40,550.00	20,275.00	20,275.00	
FRASCOS									
-------									
FRASCO DE HECES	39			1.5	0.55	58.5	21.45	37.05	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
S U B    T O T A L:						58.5	21.45	37.05	
INYECCIONES									
-----------									
INYECTABLE   INTRAMUSCULAR EXTERNO	466			5	3	2,330.00	1,398.00	932	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
S U B    T O T A L:						2,330.00	1,398.00	932	
LAVADO DE OIDO									
--------------									
LAVADO DE OIDO I	81			20	12	1,620.00	972	648	
LAVADO DE OIDO II	861			35	20	30,135.00	17,220.00	12,915.00	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
S U B    T O T A L:						31,755.00	18,192.00	13,563.00	
NEBULIZACION									
------------									
NEBULIZACION X 1	360			15		5,400.00		5,400.00	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
S U B    T O T A L:						5,400.00	0	5,400.00	
APOSITOS									
--------									
DIOXAFLEX 75MG/3ML CAJAX 1 AMPOLLA	4			10		40		40	
PRESION									
-------									
PRESION	738			2		1,476.00		1,476.00	
PROCEDIMIENTO									
-------------									
PROCEDIMIENTO	984			40		39,360.00		39,360.00	
PROCEDIMIENTO 10	801			10		8,010.00		8,010.00	
PROCEDIMIENTO 15	936			15		14,040.00		14,040.00	
PROCEDIMIENTO 20	906			20		18,120.00		18,120.00	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
S U B    T O T A L:						79,530.00	0	79,530.00	
RAYOS X									
-------									
RX ABDOMEN	995			75		74,625.00		74,625.00	
RX ANTEBRAZO FRONTAL Y LATERAL	995			75		74,625.00		74,625.00	
RX ARTICULACION TEMPORO MANDIBULAR	1000			85		85,000.00		85,000.00	
RX BRAZO FRONTAL Y LATERAL	990			75		74,250.00		74,250.00	
RX CADERA COMPARATIVA	974			95		92,530.00		92,530.00	
RX CADERA INCIDENCIA LOWESTEIN	996			95		94,620.00		94,620.00	
RX CADERA INCIDENCIA VON ROSSEN	1000			95		95,000.00		95,000.00	
RX CALCANEO FRONTAL Y LATERAL	995			75		74,625.00		74,625.00	
RX CAVUM	998			85		84,830.00		84,830.00	
RX CERVICO DORSAL FRONTAL Y LATERAL	993			110		109,230.00		109,230.00	
RX CLAVICULA	996			85		84,660.00		84,660.00	
RX CODO FRONTAL Y LATERAL	987			75		74,025.00		74,025.00	
RX COLUMNA CERVICAL FRONTAL Y LATERAL	943			110		103,730.00		103,730.00	
RX COLUMNA DORSAL FRONTAL Y LATERAL	985			110		108,350.00		108,350.00	
RX COLUMNA DORSO LUMBAR	969			150		145,350.00		145,350.00	
RX COLUMNA LUMBAR FRONTAL Y LATERAL	933			90		83,970.00		83,970.00	
RX COLUMNA LUMBAR FUNCIONAL	997			110		109,670.00		109,670.00	
RX CRANEO FRONTAL Y PERFIL	991			90		89,190.00		89,190.00	
RX DE HUESOS PROPIOS DE LA NARIZ	995			85		84,575.00		84,575.00	
RX DE PIE FRONTAL Y LATERAL	963			75		72,225.00		72,225.00	
RX DE PIERNA FRONTAL Y LATERAL	987			95		93,765.00		93,765.00	
RX DE PIES COMPARATIVOS	998			100		99,800.00		99,800.00	
RX FEMUR FRONTAL Y LATERAL	999			100		99,900.00		99,900.00	
RX FRONTAL LATERAL Y OBLICUA	999			85		84,915.00		84,915.00	
RX HOMBRO ROTACION INTERNA Y EXTERNA	965			85		82,025.00		82,025.00	
RX HOMBROS BILATERALES COMPARATIVAS	998			95		94,810.00		94,810.00	
RX MANO COMPARATIVO FRONTAL Y OBLICUAS	995			120		119,400.00		119,400.00	
RX MAXILAR INFERIOR	1000			75		75,000.00		75,000.00	
RX MAXILAR SUPERIOR	1000			75		75,000.00		75,000.00	
RX MUNECA FRONTAL Y LATERAL	955			75		71,625.00		71,625.00	
RX PARRILLA COSTAL DERECHA	968			90		87,120.00		87,120.00	
RX PELVIS ADULTO	1997			85		169,745.00		169,745.00	
RX PELVIS NINOS	1000			85		85,000.00		85,000.00	
RX RODILLA AXIALES ROTULA	989			75		74,175.00		74,175.00	
RX RODILLA COMPART.BILATERAL FRONT Y LAT	965			140		135,100.00		135,100.00	
RX RODILLA FRONTAL Y LATERAL	913			75		68,475.00		68,475.00	
RX SACRO COCCIGEA:FRONTAL Y LATERAL	999			95		94,905.00		94,905.00	
RX SACRO ILIACA	997			95		94,715.00		94,715.00	
RX SENOS PARANASALES	957			85		81,345.00		81,345.00	
RX SIMPLE DECUBITO DORSAL Y DE PIE	998			90		89,820.00		89,820.00	
RX TOBILLO FRONTAL Y LATERAL	980			75		73,500.00		73,500.00	
RX TORAX FRONTAL PROMOCION	271			65		17,615.00		17,615.00	
SERVICIO									
--------									
17 CETOESTEROIDES	999			75		74,925.00		74,925.00	
5 HIDROXIINDOLACETICO-5HIAA	1000			70		70,000.00		70,000.00	
AC.H.I.V(ELISA)	1000			75	30	75,000.00	30,000.00	45,000.00	
AC.H.I.V(WESTERN BLOT)	1000			250		250,000.00		250,000.00	
AC.HERPES I IGG	1000			65	44	65,000.00	44,000.00	21,000.00	
AC.HERPES I IGM	1000			65		65,000.00		65,000.00	
AC.HERPES II IGG	1000			65		65,000.00		65,000.00	
AC.HERPES II IGM	1000			65		65,000.00		65,000.00	
AC.HOMOVALINICO ORINA 24HRS	1000			170		170,000.00		170,000.00	
AC.LACTICO(LACTATO)	1000			1000		1,000,000.00		1,000,000.00	
AC.PIRUVICO	1000			128		128,000.00		128,000.00	
AC.TOXOPLASMA IgG	1000			65		65,000.00		65,000.00	
AC.TOXOPLASMA IgM	1000			70		70,000.00		70,000.00	
AC.URICO24H	997			30		29,910.00		29,910.00	
AC.VALPROICO	998			90		89,820.00		89,820.00	
AC.VANIL MANDELICO(VMA)	1000			70		70,000.00		70,000.00	
ACAROS	991			35		34,685.00		34,685.00	
ACETAMINOPHEN(PARACETAMOL)DOSAJE	1000			75		75,000.00		75,000.00	
ACETONA ORINA SIMPLE	1000			26		26,000.00		26,000.00	
ACETONA SERICA	1000			26	15	26,000.00	15,000.00	11,000.00	
ACIDO FOLICO	97			60	22	5,820.00	2,134.00	3,686.00	
ACIDO URICO	938			15	10	14,070.00	9,380.00	4,690.00	
ACIDOS GRASOS LIBRES	1000			170	160	170,000.00	160,000.00	10,000.00	
ACTH,AM(BASAL)	996			90		89,640.00		89,640.00	
ACTH,PM	998			90		89,820.00		89,820.00	
ADA L.PERICARDIO	1000			70		70,000.00		70,000.00	
ADA L.PERITONEAL	1000			70		70,000.00		70,000.00	
ADA L.PLEURAL	1000			70		70,000.00		70,000.00	
ADA L.SINOVIAL	1000			70		70,000.00		70,000.00	
ADA LCR	1000			70		70,000.00		70,000.00	
ADA LIQUIDOS	1000			70		70,000.00		70,000.00	
ADA SERICO	1000			70		70,000.00		70,000.00	
ADENOVIRUS HECES	10			90		900		900	
ADRENALES,AUTOANTICUERPOS	1000			220		220,000.00		220,000.00	
AFP(CANCER DE HIGADO)	987			75	50	74,025.00	49,350.00	24,675.00	
AGLUTINACIONES	8933			23	7	205,459.00	62,531.00	142,928.00	
ALBUMINA SUERO	995			18	8	17,910.00	7,960.00	9,950.00	
ALDOLASA	1000			70		70,000.00		70,000.00	
ALDOSTERONA ORINA24HORAS	1000			140	100	140,000.00	100,000.00	40,000.00	
ALDOSTERONA SERICA	1000			175	148	175,000.00	148,000.00	27,000.00	
ALFA 1 ANTIPRIPSINA	1000			80	40	80,000.00	40,000.00	40,000.00	
ALFA FETOPROTEINA SERICA	996			75	50	74,700.00	49,800.00	24,900.00	
AMEBA HISTOLITICA,ANTICUERPOS	1000			70	50	70,000.00	50,000.00	20,000.00	
AMILASA	944			25	12	23,600.00	11,328.00	12,272.00	
AMILASA ORINA 24HRS	1000			28	8.5	28,000.00	8,500.00	19,500.00	
AMONIO PLASMATICO	1000			140	80	140,000.00	80,000.00	60,000.00	
ANA ANTICUERPOS ANTINUCLEARES	978			68	34	66,504.00	33,252.00	33,252.00	
ANCA ANTICUERPOS ANTI-NEUTROFILOS	985			100	61	98,500.00	60,085.00	38,415.00	
ANDROSTANDIOL	1000			280	120	280,000.00	120,000.00	160,000.00	
ANDROSTENEDIONA	1000			70		70,000.00		70,000.00	
ANFETAMINA EN ORINA	1000			65	32	65,000.00	32,000.00	33,000.00	
ANGIOTENSINA II	1000			150	100	150,000.00	100,000.00	50,000.00	
ANGIOTENSINA,ENZIMA CONVERTIDORA	1000			170	110	170,000.00	110,000.00	60,000.00	
ANTI CCP IGG/PEPTIDO CICLICO CITRULINADO	991			220	130	218,020.00	128,830.00	89,190.00	
ANTI MICROSOMALES(PEROXIDASA-TIROIDES)	997			75	28.8	74,775.00	28,713.60	46,061.40	
ANTI MITOCONDRIALES	999			70	30.6	69,930.00	30,569.40	39,360.60	
ANTI-CARDIOLIPINA IGG	1000			70	50	70,000.00	50,000.00	20,000.00	
ANTI-CARDIOLIPINA IGM	1000			70	50	70,000.00	50,000.00	20,000.00	
ANTI-DNA NATIVO(DS-DOBLE CADENA)	1000			60	30	60,000.00	30,000.00	30,000.00	
ANTI-DNA SS(CADENA SIMPLE)	1000			65	30	65,000.00	30,000.00	35,000.00	
ANTI-EPIDERMICOS	1000			280	140	280,000.00	140,000.00	140,000.00	
ANTI-ESPERMATOZOIDES	1000			85	50	85,000.00	50,000.00	35,000.00	
ANTI-ESTREPTOLISINAS ASO	1000			50	20	50,000.00	20,000.00	30,000.00	
ANTI-FOSFOLIPIDOS IGG-IGM	1000			480	350	480,000.00	350,000.00	130,000.00	
ANTI-FOSFOLIPIDOS(PANEL IGG)	1000			450	350	450,000.00	350,000.00	100,000.00	
ANTI-FOSFOLIPIDOS(PANEL IGM)	1000			250		250,000.00		250,000.00	
ANTI-JO-1	1000			105	80	105,000.00	80,000.00	25,000.00	
ANTI-LIVERKDNEY MICROSOMALES(LKM-1)	1000			200	110	200,000.00	110,000.00	90,000.00	
ANTI-MEMBRANA HEPATICA(LMA)	1000			200	100	200,000.00	100,000.00	100,000.00	
ANTI-MI-2	1000			400	350	400,000.00	350,000.00	50,000.00	
ANTI-MIOCARDIO	1000			190	120	190,000.00	120,000.00	70,000.00	
ANTI-MITOCONDRIALES	1000			70	50	70,000.00	50,000.00	20,000.00	
ANTI-MUSCULO ESTRIADO	1000			140	115	140,000.00	115,000.00	25,000.00	
ANTI-MUSCULO LISO	999			70	50	69,930.00	49,950.00	19,980.00	
ANTI-RNP-N	1000			60	30	60,000.00	30,000.00	30,000.00	
ANTI-SM SMITH	1000			60	30	60,000.00	30,000.00	30,000.00	
ANTI-SS-A(RO)	1000			60	30	60,000.00	30,000.00	30,000.00	
ANTI-SS-B(IA)	1000			60	30	60,000.00	30,000.00	30,000.00	
ANTI-TIROGLOBULINA	996			70	50	69,720.00	49,800.00	19,920.00	
ANTICOAGULANTE LUPICO	1000			70	50	70,000.00	50,000.00	20,000.00	
ANTICUERPOS  RECEPTORES ACETILCOLINA	10			150	80	1,500.00	800	700	
ANTICUERPOS HETEROFILOS	1000			40		40,000.00		40,000.00	
ANTIESTREPTOLISINA(ASO)	999			50		49,950.00		49,950.00	
ANTIESTREPTOLISINAS(ASO)	1000			50		50,000.00		50,000.00	
ANTIPROTEINA SOLUBLE HEPATICA(I.S.P)	1000			260	160	260,000.00	160,000.00	100,000.00	
ANTITROMBINAIII,FUNCIONAL	1000			75	50	75,000.00	50,000.00	25,000.00	
APOLIPOPROTEINA A1	1000			70	50	70,000.00	50,000.00	20,000.00	
APOLIPOPROTEINA B	1000			70	50	70,000.00	50,000.00	20,000.00	
ARSENICO EN SUERO	1000			150	100	150,000.00	100,000.00	50,000.00	
ARSENICO ORINA 24HRS	1000			180	100	180,000.00	100,000.00	80,000.00	
ASCA/ANTISACCHAROMYCESCEREVISIAE IGG-IGA	1000			240	150	240,000.00	150,000.00	90,000.00	
ASO LATEX	977			20	8	19,540.00	7,816.00	11,724.00	
ASPERGILOSIS,ANTICUERPOS A	1000			70	50	70,000.00	50,000.00	20,000.00	
ASPIRACION GANGLION	1000			20	12	20,000.00	12,000.00	8,000.00	
AUTOVACUNAS	1000			450	350	450,000.00	350,000.00	100,000.00	
BANDAS OLIGOCLONALES(LCR)	1000			650	580	650,000.00	580,000.00	70,000.00	
BARBITURICOS ORINA	1000			300	250	300,000.00	250,000.00	50,000.00	
BARTONELLA EN SANGRE PERIFERICA	1000			42	21	42,000.00	21,000.00	21,000.00	
BARTONELLA HENSELAE IGG	1000			325	300	325,000.00	300,000.00	25,000.00	
BARTONELLA HENSELAE IGM	1000			330	300	330,000.00	300,000.00	30,000.00	
BATERIA DE BRUCELLAS	997			220	180	219,340.00	179,460.00	39,880.00	
BENZODIAZEPINAS ORINA	999			75	50	74,925.00	49,950.00	24,975.00	
BETA 2 GLICOPROTEINA IGG	1000			140	100	140,000.00	100,000.00	40,000.00	
BETA 2 GLICOPROTEINA IGM	1000			140	100	140,000.00	100,000.00	40,000.00	
BETA 2 MICROGLOBULINA	999			85	55	84,915.00	54,945.00	29,970.00	
BETA2 MICROGLOBULINA ORINA	1000			100	50	100,000.00	50,000.00	50,000.00	
BICARBONATO SERICO	999			40	25	39,960.00	24,975.00	14,985.00	
BICARBONATO SERICO(CO2TOTAL)	1000			40	25	40,000.00	25,000.00	15,000.00	
BICARBONATO SERICO(GASES ARTERIALES)	1000			60	40	60,000.00	40,000.00	20,000.00	
BILICULTIVO-CUERDA ENCAPSULADA	1000			120	100	120,000.00	100,000.00	20,000.00	
BILIRRUBINAS TOTALES Y FRACCIONADA	990			20	8	19,800.00	7,920.00	11,880.00	
BIOPSIA CHICA	998			150	73.6	149,700.00	73,452.80	76,247.20	
BIOPSIA GRANDE	1000			320	240	320,000.00	240,000.00	80,000.00	
BK DIRECTO	874			20	11.2	17,480.00	9,788.80	7,691.20	
BK LIQUIDOS	999			28	12	27,972.00	11,988.00	15,984.00	
BK LIQUIDOS	1000			28	12	28,000.00	12,000.00	16,000.00	
BK PCR(RESISTENCIA A RIFAMPICINA)	1000			750	700	750,000.00	700,000.00	50,000.00	
BK/RESISTENCIA A RIFAMP. E ISONIACIDAMDF	1000			750	700	750,000.00	700,000.00	50,000.00	
BLASTOMYCES,ANTICUERPOS	1000			150	100	150,000.00	100,000.00	50,000.00	
BORDETELLA PERTUSIS IGG	1000			250	200	250,000.00	200,000.00	50,000.00	
BORDETELLA PERTUSIS IGM	1000			250	110	250,000.00	110,000.00	140,000.00	
BORRELIA BURGDORFERI,IGG	1000			100	50	100,000.00	50,000.00	50,000.00	
BORRELIA BURGDORFERI,IGM	1000			200	120	200,000.00	120,000.00	80,000.00	
BRUCELLA 2MET	995			30	7	29,850.00	6,965.00	22,885.00	
BRUCELLA AGLU TUBO	996			30	7	29,880.00	6,972.00	22,908.00	
BRUCELLA ANTIC.INCOMPLETOS	998			30	12	29,940.00	11,976.00	17,964.00	
BRUCELLA BLOQUEADORES	1000			30	15	30,000.00	15,000.00	15,000.00	
BRUCELLA FEN DE ZONA	1000			30	21	30,000.00	21,000.00	9,000.00	
