úZethQuark Versi¢n 7.0ú                                          05/04/2025
17778 RX HOMBRO C/LADO                         RX       70.00          
15342 RX HOMBROS COMPARATIVOS                  RX      130.00          
17759 RX HUESOS PROPIOS DE LA NARIZ H.P.N      RX       80.00          
17793 RX INTESTINO DELGADO (TRANS.GASTROINTES) RX      280.00          
17779 RX MANO C/LADO                           RX       60.00          
15138 RX MANO COMPARATIVAS                     RX      110.00          
17760 RX MASTOIDES C/LADO                      RX       80.00          úZethQuark Versi¢n 7.0ú                                          05/04/2025
POL.LOS ANGELESREPORTE DE PRODUCTOS X LABORATORIO  (SERVICIO)      13:07:45
PRT201()                                                         Pag.-    2
---------------------------------------------------------------------------
CODIGO            DESCRIPCION              LINEA          PVP  PxUNIDAD
---------------------------------------------------------------------------
15322 RX MAXILAR INFERIOR                      RX       80.00          
15319 RX MAXILAR SUPERIOR                      RX       80.00          
17785 RX MEDICION DE LOS MIEMBROS INFERIORES   RX      180.00          
15340 RX MU¥ECA F y L C/LADO                   RX       60.00          
17754 RX MU¥ECAS COMPARATIVAS                  RX      110.00          
17773 RX OMOPLATO/ESCAPULA C/LADO              RX       70.00          
17761 RX ORBITAS C/LADO                        RX       80.00          
16501 RX PARRILLA COSTAL C/LADO                RX       80.00          
15333 RX PELVIS                                RX       70.00          
17848 RX PELVIS DOMICILIO                      RX      250.00          
17762 RX PE¥ASCO C/LADO POSICIONES             RX       80.00          
17782 RX PIE C/LADO                            RX       60.00          
17802 RX PIELOGRAFIA S/C                       RX       80.00          
17781 RX PIERNA F y L                          RX       60.00          
17780 RX PIERNAS COMPARATIVAS                  RX      110.00          
17783 RX PIES COMPARATIVOS                     RX      110.00          
15343 RX RODILLA F y L C/LADO                  RX       60.00          
15345 RX RODILLAS COMPARATIVAS                 RX      110.00          
15332 RX SACRO ILIACA C/LADO                   RX       80.00          
16478 RX SENOS PARANASALES 2T                  RX       80.00          
17764 RX SENOS PARANASALES 3T                  RX      100.00          
17765 RX SILLA TURCA                           RX       70.00          
17763 RX TEMPORAL C/LADO POSICIONES            RX       80.00          
15144 RX TOBILLO F y L C/LADO                  RX       60.00          
17784 RX TOBILLOS COMPARATIVOS                 RX      110.00          
17228 RX TORAX F                               RX       60.00          
16822 RX TORAX F-L (FRONTAL-LATERAL)           RX      110.00          
17796 RX URETROCISTOGRAFIA RETROGRADA          RX      330.00          
17797 RX UROGRAFIA EXCRETORA (PIELOGRAFIA-URO) RX      280.00          
17326 SERVICIO DOMICILIO TOMA DE MUESTRA       S        10.00          
17847 SERVICIO EXPRESS 30%                     SE       30.00          
16899 SIGNOS VITALES                           S         4.00          
16541 SUTURA DE HERIDA CORTA                   ZZ       30.00          
17136 SUTURA HERIDA POR PLANOS                 ZZ      250.00          
17135 SUTURA MAYOR A 5 PUNTOS                  ZZ      150.00          
17833 SUTURA MAYOR DE 3 A 5 PUNTOS             ZZ      100.00          
17134 SUTURA MEDIANA 3-5 PUNTOS                ZZ       90.00          
16542 SUTURA MENOR                             ZZ       50.00          
17133 SUTURA PEQUE;A 3PUNTOS                   ZZ       70.00          
16934 TERAPIA ESTANDAR                         S        35.00          
17377 TERAPIA ESTANDAR X2                      S        55.00          
17376 TERAPIA ONDA DE CHOQUE                   S        70.00          
17378 TERAPIA ONDA DE CHOQUE X2                ZZ      115.00          
16957 TERAPIA PAQUETE SEMANAL                  S       120.00          
17379 TERAPIA PAQUETE SEMANAL X2               S       200.00          