úZethQuark Versi¢n 7.0ú                                                                                                      22/03/2025
POL.LOS ANGELES                        REPORTE INVENTARIO VALORIZADO X LINEA (FARMACOS) MOSTRADOR                              13:14:30
PRT282()                                                                                                                     Pag.-    1
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
MILGAMMA 300 PROTEKT                         8          6.20                     49.60                             49.60
MILGAMMA MONO 150MG                         16          3.00                     48.00                             48.00
MOBILISIN GEL X40GR                          6         50.00     35.85          300.00           215.10            84.90
MOTRIF 1% GEL TUBO X50G                      3         14.00      5.50           42.00            16.50            25.50
MUCOBROL 300MG/3ML AMP                       9         15.00      7.50          135.00            67.50            67.50
MUCOCETIL 100MG/5ML SOL.ORAL X120ML          7         24.00     13.80          168.00            96.60            71.40
MUCOTRIM GOTx15ML                            1         19.00     12.50           19.00            12.50             6.50
MULCEROL 40MG TAB                          489          2.50      0.54        1,222.50           264.06           958.44
NAXODOL 550MG TAB                           60          1.00      0.30           60.00            18.00            42.00
NISONA 5MG/5ML SUSP X100ML                   4         27.00     18.00          108.00            72.00            36.00
NORMON 5MG/100ML + MATERIAL                  3        750.00    450.00        2,250.00         1,350.00           900.00
NORSPAN 10MG PARCHE                          2        170.00    114.69          340.00           229.38           110.62
NORSPAN 5MG PARCHE                           1        100.00     70.16          100.00            70.16            29.84
OMEPRAZOL 40MG AMP                          73          8.50      2.20          620.50           160.60           459.90
OMETAB 20MG TAB                            125          1.70      0.08          212.50            10.00           202.50
ORFEDRIN 100MG TAB                         120          1.50      0.62          180.00            74.40           105.60
ORFELAX 60MG/2ML (IM/IV) AMP               102          4.00      1.65          408.00           168.30           239.70
OTIDOL NF SOL.OTICA X5ML                     6         14.00      9.90           84.00            59.40            24.60
PALATOX 15MG/5ML JRBE X120ML                 3         13.90      5.50           41.70            16.50            25.20
PANTOPRAZOL 20MG TAB                        30          1.50      0.87           45.00            26.10            18.90
PARACETAMOL 1000MG/100ML (IV) AMP           10         42.50     22.00          425.00           220.00           205.00
PARACETAMOL 120MG/5ML SOL.ORAL X60ML         2          6.00      2.80           12.00             5.60             6.40
PARACETAMOL 500MG TAB BLSTX10               28          3.00      0.70           84.00            19.60            64.40
PARDIL 500MG TAB                            24          4.50      2.00          108.00            48.00            60.00
PASMODAN 20MG/ML (IM/IV) AMP                33          5.50      1.55          181.50            51.15           130.35
PEDIALYTE MAX SABOR UVA X500ML               8         10.00      0.01           80.00             0.08            79.92
PHYTO SOYA 17.5MG TAB                      133          2.20      1.59          292.60           211.47            81.13
PIRALGINA 250MG/5ML JRBE X50ML               2         12.00      7.00           24.00            14.00            10.00
PIRIALIV 100MG TAB                         132          1.00      0.27          132.00            35.64            96.36
PLIDOCHECK 400MG CAP                       136          0.80      0.28          108.80            38.08            70.72
PREDNISONA 5MG TAB BLSTX10                  14          2.00      0.50           28.00             7.00            21.00
PRIPAX 75MG CAPSULA                         13          3.70                     48.10                             48.10
PRODEFEN PLUS SOBRE                         75          9.00      6.11          675.00           458.25           216.75
PROFEKED 2.5% GEL X30G                       4         25.50     13.40          102.00            53.60            48.40
PROFEKET 100MG/2ML AMP X1                    1         17.50     10.00           17.50            10.00             7.50
PROFEKET 100MG/5ML AMP IV                    1         13.00      0.01           13.00             0.01            12.99
PRONTEL 100MG/5ML JRBE X20ML                 7         11.00      3.95           77.00            27.65            49.35
PROSTASIL 0.5MG CAP                         40          6.00      4.53          240.00           181.20            58.80
RETEVEN 5MG TAB                             60          4.00      0.01          240.00             0.60           239.40
REXALER 2.5MG/5ML SOL.ORAL X60ML             6         25.00      8.90          150.00            53.40            96.60
RINOFLUIMUCIL 10MG/1ML SOL.NASAL             2         65.00     47.34          130.00            94.68            35.32
ROWACHOL CAPSULAS                           71          2.50      1.45          177.50           102.95            74.55
ROWATINEX CAPSULAS                         256          2.50      1.11          640.00           284.16           355.84
SALBUTEX 100MCG AEROSOL X200DOSIS            8         15.00      4.50          120.00            36.00            84.00
SILENTUSS 30MG/5ML JRBE X120ML               4         32.00     21.50          128.00            86.00            42.00
SINGLOINT 20MG/2ML + MATERIAL                1        350.00    150.00          350.00           150.00           200.00
SINVIRAL SOL.GOTAS X20ML                     3         50.00     36.00          150.00           108.00            42.00
SUEROVIT 2ML AMP                            28         40.00     12.72        1,120.00           356.16           763.84
SULFANIL 1% CREMA 50G                        4         20.00     11.90           80.00            47.60            32.40
TERBIFUN 1% SPRAY X30ML                      5         27.00     12.50          135.00            62.50            72.50
TERBINAFINA 250MG TAB                       37          1.00      0.39           37.00            14.43            22.57úZethQuark Versi¢n 7.0ú                                                                                                      22/03/2025
POL.LOS ANGELES                        REPORTE INVENTARIO VALORIZADO X LINEA (FARMACOS) MOSTRADOR                              13:16:11
PRT282()                                                                                                                     Pag.-    5
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
---------------------------------------------------------------------------------------------------------------------------------------
TERFITIL 1% CREMA X20G                       2         16.00      6.90           32.00            13.80            18.20
THIOGAMMA 600MG TAB                          6          6.80      0.01           40.80             0.06            40.74
TOPIMICYN NF UNGUENTO X14G                   7         30.00     13.00          210.00            91.00           119.00
TRAMADOL 50MG/1ML AMP                        9          5.00      1.09           45.00             9.81            35.19
TRANEXCHYK 1G/10ML (IV) AMP                  5         30.00      1.00          150.00             5.00           145.00
TRICOFAR ORAL 500MG TAB                    123          1.50      0.57          184.50            70.11           114.39
TRIGLIOUT 100MG TAB                        194          3.50      1.65          679.00           320.10           358.90
UROFURIN 100MG TAB                          62          2.20      1.48          136.40            91.76            44.64
UROFURIN 25MG/5ML SUSP X120ML                3         38.00     24.90          114.00            74.70            39.30
VAGISTEN 0.1% CREMA X15G                     4         45.00     32.00          180.00           128.00            52.00
VARICOSIN 500MG CAPSULA                      2          2.00      0.01            4.00             0.02             3.98
VAXIGEL OVULOS                              68          4.00      1.40          272.00            95.20           176.80
VELTAM 0.4MG TAB                           201          3.00      0.19          603.00            38.19           564.81
VENOCALM 500MG CAP                          50          3.00      1.17          150.00            58.50            91.50
VERSATIS 5% 700MG PARCHE                    11         35.00      0.01          385.00             0.11           384.89
VINIL 75MG/3ML (IM/IV) AMP                  48          8.50      4.20          408.00           201.60           206.40
VITACOSE 2ML INYECTABLE                     20         20.00      9.00          400.00           180.00           220.00
VIVERA SOB                                   8          6.00      3.80           48.00            30.40            17.60
VOMIXTAL 50MG TAB                           80          1.00      0.29           80.00            23.20            56.80
ZETALER 5MG/5ML SUSPESION X 60ML             1         40.00      0.01           40.00             0.01            39.99
ZITROLAB 200MG/5ML SUSP X15ML                7         30.00     10.50          210.00            73.50           136.50
---------------------------------------------------------------------------------------------------------------------------------------
T O T A L E S :                                                              56,241.50        23,009.22        33,232.28
---------------------------------------------------------------------------------------------------------------------------------------